nome,capacidade,latencia,link
Essencore Limited KD48GU880-32A160T 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=Essencore+Limited+KD48GU880-32A160T+8GB&id12648
G Skill Intl F4-3000C14-8GTZR 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3000C14-8GTZR+8GB&id10383
G Skill Intl F4-3000C16-8GSXWB 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3000C16-8GSXWB+8GB&id11861
G Skill Intl F4-3200C14-8GFX 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-8GFX+8GB&id10422
G Skill Intl F4-3200C14-8GTRG 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-8GTRG+8GB&id13063
G Skill Intl F4-3200C14-8GTRS 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-8GTRS+8GB&id12962
G Skill Intl F4-3200C14-8GTZKO 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-8GTZKO+8GB&id10828
G Skill Intl F4-3200C14-8GTZKW 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-8GTZKW+8GB&id9760
G Skill Intl F4-3200C14-8GTZKY 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-8GTZKY+8GB&id10311
G Skill Intl F4-3200C14-8GTZR 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-8GTZR+8GB&id10105
G Skill Intl F4-3200C14-8GTZRX 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-8GTZRX+8GB&id11594
G Skill Intl F4-3200C14-8GVK 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-8GVK+8GB&id8444
G Skill Intl F4-3200C14-8GVR 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-8GVR+8GB&id8500
G Skill Intl F4-3200C14-16GTZKO 16GB,16,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-16GTZKO+16GB&id10511
G Skill Intl F4-3200C14-16GTZKW 16GB,16,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-16GTZKW+16GB&id9734
G Skill Intl F4-3200C14-16GTZN 16GB,16,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C14-16GTZN+16GB&id14081
G Skill Intl F4-3200C15-8GTZKW 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C15-8GTZKW+8GB&id9965
G Skill Intl F4-3200C15-8GTZSK 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C15-8GTZSK+8GB&id9657
G Skill Intl F4-3200C16-8GRKB 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C16-8GRKB+8GB&id9841
G Skill Intl F4-3200C16-16GRS 16GB,16,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C16-16GRS+16GB&id10428
G Skill Intl F4-3200C16-16GTZKY 16GB,16,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C16-16GTZKY+16GB&id10429
G Skill Intl F4-3466C16-8GTZR 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3466C16-8GTZR+8GB&id10479
G Skill Intl F4-3466C16-8GTZSK 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3466C16-8GTZSK+8GB&id9825
G Skill Intl F4-3466C16-8GVK 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3466C16-8GVK+8GB&id9613
G Skill Intl F4-3466C16-16GTZR 16GB,16,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3466C16-16GTZR+16GB&id11033
G Skill Intl F4-3600C14-8GTZNB 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C14-8GTZNB+8GB&id14356
G Skill Intl F4-3600C15-8GTZ 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C15-8GTZ+8GB&id9117
G Skill Intl F4-3600C16-8GTRG 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C16-8GTRG+8GB&id13539
G Skill Intl F4-3600C16-8GTZ 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C16-8GTZ+8GB&id8509
G Skill Intl F4-3600C16-8GTZKW 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C16-8GTZKW+8GB&id9859
G Skill Intl F4-3600C16-8GTZN 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C16-8GTZN+8GB&id13667
G Skill Intl F4-3600C16-8GTZR 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C16-8GTZR+8GB&id10175
G Skill Intl F4-3600C16-8GTZRC 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C16-8GTZRC+8GB&id14118
G Skill Intl F4-3600C16-8GTZSW 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C16-8GTZSW+8GB&id9688
G Skill Intl F4-3600C16-8GVK 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C16-8GVK+8GB&id8322
G Skill Intl F4-3600C16-16GTZN 16GB,16,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C16-16GTZN+16GB&id13730
G Skill Intl F4-3600C17-8GTZSW 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C17-8GTZSW+8GB&id11620
G Skill Intl F4-3600C18-8GTZN 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C18-8GTZN+8GB&id13669
G Skill Intl F4-3600C19-8GSXF 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C19-8GSXF+8GB&id11926
G Skill Intl F4-3733C17-8GTZA 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3733C17-8GTZA+8GB&id8536
G Skill Intl F4-3733C17-8GTZKW 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3733C17-8GTZKW+8GB&id10044
G Skill Intl F4-3733C17-8GTZSW 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3733C17-8GTZSW+8GB&id12760
G Skill Intl F4-3733C17-16GTZKK 16GB,16,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3733C17-16GTZKK+16GB&id12157
G Skill Intl F4-3733C17-16GTZSW 16GB,16,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3733C17-16GTZSW+16GB&id12476
G Skill Intl F4-3866C18-8GTZKW 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3866C18-8GTZKW+8GB&id12384
G Skill Intl F4-3866C18-8GTZSW 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3866C18-8GTZSW+8GB&id10491
G Skill Intl F4-4000C17-8GTRS 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C17-8GTRS+8GB&id13102
G Skill Intl F4-4000C17-8GTZR 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C17-8GTZR+8GB&id11752
G Skill Intl F4-4000C18-8GTRS 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C18-8GTRS+8GB&id14203
G Skill Intl F4-4000C18-8GTZRB 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C18-8GTZRB+8GB&id14471
G Skill Intl F4-4000C19-8GTZKW 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C19-8GTZKW+8GB&id9561
G Skill Intl F4-4000C19-16GTZKK 16GB,16,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C19-16GTZKK+16GB&id12296
G Skill Intl F4-4133C17-8GTZR 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4133C17-8GTZR+8GB&id12204
G Skill Intl F4-4133C19-8GTZC 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4133C19-8GTZC+8GB&id10691
G Skill Intl F4-4133C19-8GTZKW 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4133C19-8GTZKW+8GB&id10567
G Skill Intl F4-4133C19-8GTZKWC 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4133C19-8GTZKWC+8GB&id10617
G Skill Intl F4-4133C19-8GTZRF 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4133C19-8GTZRF+8GB&id12695
G Skill Intl F4-4133C19-8GTZSWC 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4133C19-8GTZSWC+8GB&id12551
G Skill Intl F4-4266C19-8GTRG 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4266C19-8GTRG+8GB&id12952
G Skill Intl F4-4266C19-8GTRS 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4266C19-8GTRS+8GB&id12907
G Skill Intl F4-4266C19-8GTZA 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4266C19-8GTZA+8GB&id10973
G Skill Intl F4-4266C19-8GTZKW 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4266C19-8GTZKW+8GB&id10677
G Skill Intl F4-4266C19-8GTZR 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4266C19-8GTZR+8GB&id10361
G Skill Intl F4-4266C19-8GTZSW 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4266C19-8GTZSW+8GB&id10580
G Skill Intl F4-4400C18-8GTRS 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4400C18-8GTRS+8GB&id13213
G Skill Intl F4-4400C18-8GTZR 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4400C18-8GTZR+8GB&id12948
G Skill Intl F4-4400C19-8GTZKK 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4400C19-8GTZKK+8GB&id11953
G Skill Intl F4-4400C19-8GTZSW 8GB,8,16,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4400C19-8GTZSW+8GB&id12030
G Skill Intl F4-4500C19-8GTZKKE 8GB,8,15,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4500C19-8GTZKKE+8GB&id12922
G Skill Intl F4-4600C18-8GTRS 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4600C18-8GTRS+8GB&id13946
G Skill Intl F4-4600C18-8GTZR 8GB,8,16,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4600C18-8GTZR+8GB&id13547
G Skill Intl F4-4600C19-8GTZKKC 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4600C19-8GTZKKC+8GB&id11934
